scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated
Koompassia excelsa,2005-10-07 14:06:00 +0800,"",,1.0435384915,110.2539197189,"Borneo, East Malaysia, Fabaceae, Fabales, Magnoliopsida, Malaysia, Sarawak, Southeast Asia, flora, plant, tree, tropical",,https://www.inaturalist.org/observations/63872127,https://static.inaturalist.org/photos/102586293/medium.jpg,cclborneo,63872127,Koompassia excelsa,Plantae,348093,1,0,2005/10/07 2:06 PM +0800,2005-10-07,2005-10-07 06:06:00 UTC,Kuala Lumpur,2000,31448,,obscured,true,,,1829749,Chien Lee,2020-10-31 09:41:20 UTC,2025-05-28 21:40:05 UTC,research,,,,false
Koompassia excelsa,2010-06-10 16:24:00 -1000,,"Jerantut, MY-PH, MY",4.2692621253,102.2057714288,"",,https://www.inaturalist.org/observations/65743196,https://inaturalist-open-data.s3.amazonaws.com/photos/105865759/medium.jpg,dhfischer,65743196,Koompassia excelsa,Plantae,348093,0,0,2010/06/10 4:24 PM HST,2010-06-10,2010-06-11 02:24:00 UTC,Hawaii,3954,31407,,obscured,true,,,117614,"",2020-11-28 10:24:14 UTC,2024-12-06 00:35:46 UTC,needs_id,CC-BY-SA,,,false
Koompassia excelsa,2010-06-10 17:44:00 -1000,,"Jerantut, MY-PH, MY",4.2696851169,102.2002060621,"",,https://www.inaturalist.org/observations/65743197,https://inaturalist-open-data.s3.amazonaws.com/photos/105865760/medium.jpg,dhfischer,65743197,Koompassia excelsa,Plantae,348093,0,0,2010/06/10 5:44 PM HST,2010-06-10,2010-06-11 03:44:00 UTC,Hawaii,3954,31407,,obscured,true,,,117614,"",2020-11-28 10:24:14 UTC,2024-12-06 00:35:46 UTC,needs_id,CC-BY-SA,,,false
Koompassia excelsa,2010-06-12 14:18:00 -1000,,"Jerantut, MY-PH, MY",4.2919102956,102.213415572,"",,https://www.inaturalist.org/observations/65743199,https://inaturalist-open-data.s3.amazonaws.com/photos/105865767/medium.jpg,dhfischer,65743199,Koompassia excelsa,Plantae,348093,0,0,2010/06/12 2:18 PM HST,2010-06-12,2010-06-13 00:18:00 UTC,Hawaii,3954,31407,,obscured,true,,,117614,"",2020-11-28 10:24:15 UTC,2024-12-06 00:35:46 UTC,needs_id,CC-BY-SA,,,false
Koompassia excelsa,2010-06-12 18:27:00 -1000,,"Jerantut, MY-PH, MY",4.3624628747,102.3341678915,"",,https://www.inaturalist.org/observations/65743200,https://inaturalist-open-data.s3.amazonaws.com/photos/105865771/medium.jpg,dhfischer,65743200,Koompassia excelsa,Plantae,348093,0,0,2010/06/12 6:27 PM HST,2010-06-12,2010-06-13 04:27:00 UTC,Hawaii,3954,31407,,obscured,true,,,117614,"",2020-11-28 10:24:15 UTC,2024-12-06 00:35:46 UTC,needs_id,CC-BY-SA,,,false
Koompassia excelsa,2016-03-07 13:48:00 +0100,,"Jerantut, MY-PH, MY",4.4430802282,102.2153064941,"",,https://www.inaturalist.org/observations/68213458,https://inaturalist-open-data.s3.amazonaws.com/photos/111432656/medium.jpeg,phygelius,68213458,Koompassia excelsa,Plantae,348093,0,0,2016/03/07 1:48 PM CET,2016-03-07,2016-03-07 12:48:00 UTC,Berlin,31,31403,,obscured,true,,,1830818,"",2021-01-17 14:37:09 UTC,2021-01-29 17:54:33 UTC,needs_id,CC-BY-NC,,,false
Koompassia excelsa,2021-05-06 18:27:40 +0800,,Malaysia,2.8023276212,101.7380224665,"",,https://www.inaturalist.org/observations/77582687,https://static.inaturalist.org/photos/126895622/medium.jpeg,lynx2021,77582687,tualang,Plantae,348093,0,0,2021-05-06 18:27:40,2021-05-06,2021-05-06 10:27:40 UTC,Kuala Lumpur,887,31431,,obscured,true,gps,gps,4316220,Ling Lee,2021-05-06 10:28:23 UTC,2021-06-07 14:00:49 UTC,needs_id,,,2,false
Koompassia excelsa,2005-02-03 00:00:00 -0500,>65 m tall,"Jerantut, MY-PH, MY",4.3744762497,102.3957377111,"",,https://www.inaturalist.org/observations/81755301,https://inaturalist-open-data.s3.amazonaws.com/photos/134109564/medium.jpg,tedweber1,81755301,Koompassia excelsa,Plantae,348093,0,0,2005/02/03,2005-02-03,,Eastern Time (US & Canada),2000,31407,,obscured,true,,,2577237,Ted Weber,2021-06-05 19:43:07 UTC,2021-06-05 19:46:45 UTC,needs_id,CC-BY-NC,,,false
Koompassia excelsa,1994-08-10 00:00:00 +0800,"Tualang, aka tapang, mangaris and bangris. Scanned slide.

Taman Negara National Park, Pahang, Malaysia","Jerantut, MY-PH, MY",4.3202814516,102.3327598489,"Taman Negara National Park, Pahang, Malaysia, MY, Allan Hopkins, Hoppy1951, Tualang, Koompassia excelsa, emergent, tropical rainforest, tree, tapang, mangaris, bangris, Magnoliopsida, Fabales, Legume, Fabaceae, Dialioideae, Tualang (Koompassia excelsa) - an emergent tropical rainforest tree species",,https://www.inaturalist.org/observations/104354681,https://inaturalist-open-data.s3.amazonaws.com/photos/174841605/medium.jpg,hoppy1951,104354681,Koompassia excelsa,Plantae,348093,0,0,1994-08-10 00:00:00,1994-08-10,1994-08-09 16:00:00 UTC,Kuala Lumpur,,31407,,obscured,true,,"",8114,Allan Hopkins,2022-01-04 17:59:24 UTC,2022-01-04 18:00:18 UTC,needs_id,CC-BY,,,false
Koompassia excelsa,2022-03-20 15:21:24 +0800,,Malaysia,3.9808227576,101.5131639553,"",,https://www.inaturalist.org/observations/109027308,https://static.inaturalist.org/photos/183680393/medium.jpeg,kimhockdf,109027308,Koompassia excelsa,Plantae,348093,0,0,2022-03-20 15:21:24,2022-03-20,2022-03-20 07:21:24 UTC,Kuala Lumpur,,31415,,obscured,true,gps,gps,2159957,Tan Kim Hock,2022-03-20 07:39:01 UTC,2022-03-20 07:39:18 UTC,needs_id,,,2,false
