scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated
Rubroshorea macrophylla,2019-02-03 00:03:00 +0800,,"Sarawak, MY",2.2485788203,111.8100932031,"",,https://www.inaturalist.org/observations/20031576,https://inaturalist-open-data.s3.amazonaws.com/photos/30923943/medium.jpeg,ongzi,20031576,Rubroshorea macrophylla,Plantae,1611187,2,0,2019/02/03 12:03 AM +08,2019-02-03,2019-02-02 16:03:00 UTC,Kuala Lumpur,15625,31438,,obscured,true,,,890554,Ong Jyh Seng,2019-02-02 16:05:56 UTC,2025-03-04 00:12:30 UTC,research,CC-BY-SA,,,false
Rubroshorea macrophylla,2019-09-16 08:08:00 +0800,"P1100669.JPG
Seed","Sabah, MY",4.3656153608,117.8951073215,"",,https://www.inaturalist.org/observations/34955121,https://inaturalist-open-data.s3.amazonaws.com/photos/55080361/medium.jpeg,pfaucher,34955121,Rubroshorea macrophylla,Plantae,1611187,1,0,2019/09/16 8:08 AM +0800,2019-09-16,2019-09-16 00:08:00 UTC,Kuala Lumpur,,31407,,obscured,true,,,229868,"",2019-10-27 11:47:42 UTC,2025-03-04 00:12:40 UTC,research,CC-BY-NC,,,false
Rubroshorea macrophylla,2023-05-22 13:25:06 +0800,Kawang jantong,Malaysia,2.8364433518,101.688795003,"",,https://www.inaturalist.org/observations/163068337,https://inaturalist-open-data.s3.amazonaws.com/photos/282009666/medium.jpeg,ngieng,163068337,Shorea macrophylla,Plantae,1611187,0,0,2023-05-22 13:25:06,2023-05-22,2023-05-22 05:25:06 UTC,Kuala Lumpur,17,31431,,obscured,true,,,6874808,,2023-05-22 05:26:07 UTC,2025-03-04 00:12:59 UTC,needs_id,CC-BY-NC,,2,false
Rubroshorea macrophylla,2023-05-23 18:39:09 +0800,,Malaysia,2.9052928701,101.7366544319,"",,https://www.inaturalist.org/observations/163285971,https://static.inaturalist.org/photos/282405519/medium.jpeg,simeechai,163285971,Shorea macrophylla,Plantae,1611187,0,0,2023-05-23 18:39:09,2023-05-23,2023-05-23 10:39:09 UTC,Kuala Lumpur,12,31431,,obscured,true,,,6910125,Sim Ee Chai,2023-05-23 10:39:56 UTC,2025-03-04 00:13:01 UTC,needs_id,,,2,false
Rubroshorea macrophylla,2023-08-22 22:50:00 +0800,Possibly a planted tree,Malaysia,3.3028747452,101.8618370787,"",,https://www.inaturalist.org/observations/179684053,https://inaturalist-open-data.s3.amazonaws.com/photos/312864122/medium.jpeg,akmal_idham,179684053,Shorea macrophylla,Plantae,1611187,0,0,2023-08-22 22:50:00,2023-08-22,2023-08-22 14:50:00 UTC,Kuala Lumpur,214,31425,,obscured,true,gps,gps,5087501,Akmal Idham,2023-08-22 14:51:06 UTC,2025-03-04 00:13:09 UTC,needs_id,CC-BY-NC,,2,false
Rubroshorea macrophylla,2025-01-18 14:07:33 +0800,"","Sarawak, MY",1.7035806151,110.1196823783,"",,https://www.inaturalist.org/observations/258808165,https://static.inaturalist.org/photos/464438790/medium.jpg,suemie_moharip,258808165,"",Plantae,1611187,0,0,2025-01-18 14:07:33+08:00,2025-01-18,2025-01-18 06:07:33 UTC,Asia/Kuching,704,31444,,obscured,true,,,8873881,SueMie Moharip,2025-01-18 06:11:39 UTC,2025-03-04 00:13:40 UTC,needs_id,,,3,false
Rubroshorea macrophylla,2025-05-24 10:24:49 +0800,,"Sabah, MY",4.8767245264,117.9366544141,"",,https://www.inaturalist.org/observations/287500231,https://inaturalist-open-data.s3.amazonaws.com/photos/516952099/medium.jpg,pseudomonasry,287500231,Shorea macrophylla,Plantae,1611187,0,0,2025-05-24 10:24:49,2025-05-24,2025-05-24 02:24:49 UTC,Asia/Kuching,,31394,,obscured,true,gps,gps,1810128,Muhammad Nasry,2025-06-07 06:45:54 UTC,2025-06-07 06:46:44 UTC,needs_id,CC-BY-NC,,2,false
