scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated
Calophyllum lanigerum,2018-05-31 16:12:55 +0800,Sarawak ,", , , ",1.7217466667,110.4461666667,"",,https://www.inaturalist.org/observations/13065053,https://inaturalist-open-data.s3.amazonaws.com/photos/19025376/medium.jpg,claytonleaf,13065053,Calophyllum lanigerum,Plantae,425536,1,0,Thu May 31 2018 16:12:55 GMT+0800 (GMT+8),2018-05-31,2018-05-31 08:12:55 UTC,Perth,5,5,,,false,,,762057,,2018-06-03 02:58:29 UTC,2022-06-03 01:24:11 UTC,research,CC-BY-NC,,3,false
Calophyllum lanigerum,2013-07-02 08:12:00 -0400,,"Sarawak, Malaysia",1.7166667,110.4666667,"",,https://www.inaturalist.org/observations/35398979,https://inaturalist-open-data.s3.amazonaws.com/photos/55813097/medium.jpeg,rhondaridley,35398979,Calophyllum lanigerum,Plantae,425536,1,0,2013/07/02 8:12 AM EDT,2013-07-02,2013-07-02 12:12:00 UTC,Eastern Time (US & Canada),3487,3487,,,false,,,30753,Rhonda Ridley,2019-11-07 04:44:23 UTC,2024-04-25 16:31:51 UTC,needs_id,CC-BY-SA,,,false
Calophyllum lanigerum,2021-11-23 08:42:00 +0800,"","Bako, Kuching, Sarawak, Malaysia",1.724035,110.4565966667,"",,https://www.inaturalist.org/observations/109356514,https://static.inaturalist.org/photos/184298784/medium.jpg,cclborneo,109356514,Calophyllum lanigerum,Plantae,425536,0,0,2021/11/23 8:42 AM +0800,2021-11-23,2021-11-23 00:42:00 UTC,Kuala Lumpur,,,,,false,,,1829749,Chien Lee,2022-03-24 08:27:27 UTC,2022-03-24 08:27:27 UTC,needs_id,,,,false
Calophyllum lanigerum,2022-08-21 10:14:54 +0800,,"Kuching, Sarawak, Malaysia",1.722725,110.4488055556,"",,https://www.inaturalist.org/observations/132119092,https://inaturalist-open-data.s3.amazonaws.com/photos/224945062/medium.jpeg,calebcatto,132119092,Calophyllum lanigerum,Plantae,425536,1,0,2022-08-21 10:14:54,2022-08-21,2022-08-21 02:14:54 UTC,Asia/Kuching,,,,,false,gps,gps,1781642,Caleb Catto,2022-08-24 10:02:16 UTC,2022-08-24 11:48:56 UTC,needs_id,CC-BY,,2,false
Calophyllum lanigerum,2025-07-24 08:38:01 +0800,,"PC8V+HJ, Kuching, Sarawak, Malaysia",1.7166328,110.4443665,"",,https://www.inaturalist.org/observations/300630177,https://inaturalist-open-data.s3.amazonaws.com/photos/541691708/medium.jpg,herman54593,300630177,Calophyllum lanigerum,Plantae,425536,1,0,2025-07-24 08:38:01,2025-07-24,2025-07-24 00:38:01 UTC,Asia/Kuching,,,,,false,,,9023710,Herman Scholz,2025-07-24 10:28:24 UTC,2025-07-27 04:06:29 UTC,research,CC-BY-NC,,2,false
Calophyllum lanigerum,2025-08-07 10:16:03 +0800,,"Kuching, Sarawak, Malaysia",1.7066872701,110.4663246498,"",,https://www.inaturalist.org/observations/305720541,https://inaturalist-open-data.s3.amazonaws.com/photos/551255668/medium.jpg,herman54593,305720541,Calophyllum lanigerum,Plantae,425536,1,0,2025-08-07 10:16:03,2025-08-07,2025-08-07 02:16:03 UTC,Asia/Kuching,212,212,,,false,,,9023710,Herman Scholz,2025-08-12 07:51:15 UTC,2025-08-20 13:04:28 UTC,research,CC-BY-NC,,2,false
