scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated
Aetoxylon sympetalum,2011-06-08 00:00:00 -0800,Growing not far from the coast.,"sarawak, malaysia",1.721402,110.446918,"",,http://www.inaturalist.org/observations/4454588,https://inaturalist-open-data.s3.amazonaws.com/photos/5367612/medium.jpg,c_michael_hogan,4454588,Aetoxylon sympetalum,Plantae,512733,0,0,2011-06-08,2011-06-08,,Pacific Time (US & Canada),,,,,false,,,4857,c michael hogan,2016-10-29 05:26:47 UTC,2016-10-29 05:26:52 UTC,needs_id,CC-BY-NC-SA,,,false
Aetoxylon sympetalum,2025-08-26 10:54:00 +0800,"Locality: Bako NP, Sarawak
Habitat: MDF to KF
Local Name: Gaharu buaya
Description: Tree 25m, 40cm dbh. Light to dark green leaves. Fibrous leaves, similar to those of Aquilaria spp. Smooth crackling stem, dark greyish colour. Inner bark is yellowish, with a thick and leathery texture. Dark colour resin produces a light aromatic scent. ","Bahagian Kuching, Sarawak, Malaysia",1.7161060278,110.4431533611,"",,https://www.inaturalist.org/observations/312631525,https://inaturalist-open-data.s3.amazonaws.com/photos/564480233/medium.jpg,andyluna,312631525,Aetoxylon sympetalum,Plantae,512733,0,0,2025/08/26 10:54 AM,2025-08-26,2025-08-26 02:54:00 UTC,Asia/Kuching,10,10,,,false,,,2451348,"",2025-09-09 07:17:29 UTC,2025-09-12 05:34:06 UTC,needs_id,CC-BY-NC,,,false
