scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated
Rubroshorea hemsleyana,2023-12-17 11:19:36 +0800,,Malaysia,2.861301097,101.7226746508,"",,https://www.inaturalist.org/observations/194174458,https://inaturalist-open-data.s3.amazonaws.com/photos/341243046/medium.jpeg,rafidah_abdul_rahman,194174458,Shorea hemsleyana,Plantae,1611397,0,0,2023-12-17 11:19:36,2023-12-17,2023-12-17 03:19:36 UTC,Kuala Lumpur,,31431,,obscured,true,,,6843731,Rafidah Abdul Rahman,2023-12-17 08:13:25 UTC,2025-03-04 17:05:36 UTC,needs_id,CC-BY-NC,,2,false
Rubroshorea hemsleyana,2023-12-17 11:19:17 +0800,,Malaysia,2.8665889497,101.7281918677,"",,https://www.inaturalist.org/observations/194176186,https://inaturalist-open-data.s3.amazonaws.com/photos/341247003/medium.jpeg,nik_faizu,194176186,Rubroshorea hemsleyana,Plantae,1611397,1,0,2023-12-17 11:19:17,2023-12-17,2023-12-17 03:19:17 UTC,Kuala Lumpur,,31431,,obscured,true,gps,gps,6843967,Nik Faizu Nik Hassan,2023-12-17 08:59:01 UTC,2025-04-05 01:25:54 UTC,research,CC-BY-NC,,2,false
